# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
HE;1;Summe;1987 – 1996;430888;4856;73829;102151;36050;55420;31703;93390;;33490;13135;7627
HE;1;Summe;1977 – 1986;446295;4819;103099;110212;46542;48070;21088;78763;;33701;13406;11349
HE;1;Summe;1962 – 1976;892010;11127;231090;260821;97344;79075;28785;131416;;52352;24759;15996
HE;1;Summe;1952 – 1961;595768;9157;165592;208218;55407;42644;18053;73467;;23231;11507;6864
HE;1;Summe;1951 und früher;718457;12370;298135;260968;37929;43337;11365;42505;;11847;6612;3297
HE;1;m;Summe;1612475;20893;435455;468464;172460;163950;64255;206459;;80539;36603;19660
HE;1;m;1997 – 2003;127085;1191;19652;27807;7092;29323;7810;24489;;9722;3971;1520
HE;1;m;1987 – 1996;216372;2353;37934;48192;20747;32330;16459;40703;;17655;7332;3371
HE;1;m;1977 – 1986;220187;2087;50836;51258;28580;25000;10248;35916;;16263;6262;5465
HE;1;m;1962 – 1976;437793;4885;118393;123409;60550;38795;14294;55253;;22214;10893;5839
HE;1;m;1952 – 1961;293585;4512;80877;102149;32741;20806;9510;32702;;10288;5748;2248
HE;1;m;1951 und früher;317452;5865;127762;115650;22751;17696;5934;17397;;4398;2398;1217
HE;1;w;Summe;1728164;23813;473692;531665;112877;151762;66202;274076;;94077;40757;28421
HE;1;w;1997 – 2003;130136;1186;17749;29953;4974;17843;11652;36505;;10274;3970;1428
HE;1;w;1987 – 1996;214516;2503;35895;53958;15303;23090;15244;52687;;15835;5803;4256
HE;1;w;1977 – 1986;226107;2732;52264;58954;17962;23070;10840;42847;;17438;7144;5884
HE;1;w;1962 – 1976;454217;6242;112697;137413;36793;40281;14491;76163;;30137;13866;10157
HE;1;w;1952 – 1961;302184;4645;84715;106069;22666;21838;8543;40764;;12943;5759;4616
HE;1;w;1951 und früher;401005;6505;170373;145319;15178;25641;5431;25109;;7449;4214;2079
HE;2;Summe;Summe;3340639;39829;753512;910035;290978;421621;142585;521411;;260668;56155;43106
HE;2;Summe;1997 – 2003;257221;1792;24617;42482;11660;55775;20843;63129;;36923;4507;2453
HE;2;Summe;1987 – 1996;430888;4059;54725;80352;37282;66711;29849;97926;;59984;9621;6646
HE;2;Summe;1977 – 1986;446295;3929;79216;91964;48968;60756;22278;88554;;50630;11208;9610
HE;2;Summe;1962 – 1976;892010;9340;187006;242834;98468;111028;32634;142256;;68444;17868;14706
HE;2;Summe;1952 – 1961;595768;7260;142693;197760;55569;60489;22703;80817;;28476;7497;6586
HE;2;Summe;1951 und früher;718457;13448;265256;254643;39031;66860;14278;48730;;16211;5454;3104
HE;2;m;Summe;1612475;17310;354719;421112;175682;226928;74959;225883;;115882;26836;17504
HE;2;m;1997 – 2003;127085;631;12430;20936;6553;34937;9085;24881;;17631;2403;1223
HE;2;m;1987 – 1996;216372;2236;27709;36836;21916;39326;16088;42555;;29706;5581;2808
HE;2;m;1977 – 1986;220187;1560;37997;41759;29684;32883;12534;40267;;23504;5553;4236
HE;2;m;1962 – 1976;437793;4093;94035;113062;61311;58452;16922;61926;;27992;7967;5979
HE;2;m;1952 – 1961;293585;3188;69476;96804;33067;30725;12252;36295;;11777;3618;2382
HE;2;m;1951 und früher;317452;5602;113071;111714;23151;30606;8078;19959;;5271;1712;875
HE;2;w;Summe;1728164;22519;398793;488923;115296;194693;67626;295528;;144786;29319;25602
HE;2;w;1997 – 2003;130136;1161;12187;21545;5108;20838;11758;38247;;19291;2104;1230
HE;2;w;1987 – 1996;214516;1823;27016;43516;15366;27385;13761;55371;;30278;4040;3838
HE;2;w;1977 – 1986;226107;2369;41219;50205;19284;27873;9745;48287;;27126;5655;5374
HE;2;w;1962 – 1976;454217;5248;92971;129772;37157;52577;15712;80330;;40451;9900;8727
HE;2;w;1952 – 1961;302184;4073;73216;100956;22502;29765;10451;44522;;16699;3879;4204
HE;2;w;1951 und früher;401005;7846;152185;142929;15880;36254;6199;28771;;10940;3742;2229
RP;1;Summe;Summe;2357021;31352;686825;697183;205790;193360;84143;247246;;211122;114991;32093
RP;1;Summe;1997 – 2003;181059;1396;31658;40915;9959;29207;11505;34448;;21971;7336;1859
RP;1;Summe;1987 – 1996;284218;2578;52789;68830;28374;32273;15002;43616;;40757;20245;5575
RP;1;Summe;1977 – 1986;297418;2697;70549;73917;39500;26965;11891;35099;;36801;20498;5403
RP;1;Summe;1962 – 1976;648132;7318;172269;188831;70681;51899;21738;71570;;63827;36532;11905
RP;1;Summe;1952 – 1961;452565;6248;137801;156437;35894;27652;16194;40914;;31425;19571;5165
RP;1;Summe;1951 und früher;493628;11115;221759;168253;21382;25364;7813;21599;;16342;10810;2185
RP;1;m;Summe;1151791;14812;331067;330899;129152;100576;41163;106772;;97351;53877;13158
RP;1;m;1997 – 2003;91879;695;16317;19559;6330;18923;4678;13612;;11764;3939;966
RP;1;m;1987 – 1996;146243;1485;27072;35457;17293;18616;7679;19016;;19626;9429;2574
RP;1;m;1977 – 1986;147232;1098;34291;34653;24683;13788;6222;15112;;17385;9571;2147
RP;1;m;1962 – 1976;323524;3503;88680;90112;46104;25118;10685;30702;;28619;17596;4550
RP;1;m;1952 – 1961;223643;2826;66832;77515;22050;12891;8018;19519;;13993;9138;2171
RP;1;m;1951 und früher;219270;5204;97875;73602;12692;11241;3881;8810;;5965;4203;750
RP;1;w;Summe;1205230;16540;355758;366284;76638;92784;42980;140474;;113771;61115;18934
RP;1;w;1997 – 2003;89180;701;15341;21356;3629;10283;6827;20836;;10207;3396;893
RP;1;w;1987 – 1996;137976;1093;25718;33373;11080;13657;7323;24600;;21131;10816;3002
RP;1;w;1977 – 1986;150186;1599;36257;39264;14817;13177;5669;19987;;19416;10927;3256
RP;1;w;1962 – 1976;324609;3814;83589;98719;24577;26782;11052;40868;;35208;18936;7354
RP;1;w;1952 – 1961;228922;3422;70969;78922;13844;14761;8177;21395;;17432;10433;2994
RP;1;w;1951 und früher;274358;5911;123884;94651;8690;14123;3932;12789;;10377;6607;1435
RP;2;Summe;Summe;2357021;22869;576533;685534;215205;272451;76123;293135;;215171;84396;28719
RP;2;Summe;1997 – 2003;181059;967;19533;33564;10667;38637;11145;38600;;27945;5740;1640
RP;2;Summe;1987 – 1996;284218;1950;37240;60682;29244;43136;15189;51680;;45097;13463;4769
RP;2;Summe;1977 – 1986;297418;2289;56426;67436;41289;37488;12132;42957;;37401;14913;5113
RP;2;Summe;1962 – 1976;648132;4539;141841;192225;73641;74082;18557;83233;;60014;26341;10463
RP;2;Summe;1952 – 1961;452565;4790;120651;158234;37089;40942;13098;50060;;27700;14447;4967
RP;2;Summe;1951 und früher;493628;8334;200841;173393;23275;38166;6001;26604;;17013;9492;1767
RP;2;m;Summe;1151791;9903;274090;321142;135248;147675;39946;128001;;95786;38874;11727
RP;2;m;1997 – 2003;91879;494;9647;16037;6856;25483;5282;14572;;13509;3153;737
RP;2;m;1987 – 1996;146243;1016;17841;30168;18005;25754;7855;23287;;22317;6326;2099
RP;2;m;1977 – 1986;147232;1014;26932;30701;25724;20378;6706;18312;;17465;7101;2315
RP;2;m;1962 – 1976;323524;2127;72596;91335;47205;38846;10031;36537;;24846;12193;4085
RP;2;m;1952 – 1961;223643;1809;58654;76999;23261;20267;6639;24242;;11772;6537;1931
RP;2;m;1951 und früher;219270;3442;88420;75903;14197;16948;3432;11051;;5877;3564;560
RP;2;w;Summe;1205230;12966;302443;364392;79957;124776;36177;165134;;119385;45522;16992
RP;2;w;1997 – 2003;89180;473;9886;17527;3812;13154;5863;24028;;14437;2587;902
RP;2;w;1987 – 1996;137976;934;19400;30514;11239;17382;7334;28393;;22780;7138;2669
RP;2;w;1977 – 1986;150186;1275;29494;36735;15565;17110;5426;24645;;19936;7812;2798
RP;2;w;1962 – 1976;324609;2411;69245;100890;26436;35236;8526;46696;;35168;14148;6378
RP;2;w;1952 – 1961;228922;2981;61997;81235;13828;20675;6459;25819;;15928;7910;3037
RP;2;w;1951 und früher;274358;4892;112421;97491;9078;21218;2569;15553;;11137;5928;1207
BW;1;Summe;Summe;5997317;54574;1767316;1247455;561058;711697;175691;1058334;;421192;137484;127724
BW;1;Summe;1997 – 2003;486549;2441;79565;73243;25977;104125;29177;121705;;50315;11315;7835
BW;1;Summe;1987 – 1996;832349;4892;162589;136265;74624;132697;38995;195231;;87058;25406;19915
BW;1;Summe;1977 – 1986;824392;4899;203926;135754;103271;103784;27186;162810;;82762;27214;27390
BW;1;Summe;1962 – 1976;1620614;12986;461654;321027;190543;180602;42324;288064;;123414;45805;44547
BW;1;Summe;1952 – 1961;1045302;10700;330149;259409;103049;96548;24562;173076;;47810;16621;17917
BW;1;Summe;1951 und früher;1188111;18656;529433;321757;63595;93942;13447;117448;;29833;11123;10119
BW;1;m;Summe;2944024;25177;861589;585075;344961;376602;82932;476104;;191585;64652;48282
BW;1;m;1997 – 2003;248715;1019;41235;35014;17085;64162;10894;52880;;26428;5209;3434
BW;1;m;1987 – 1996;421030;2452;82190;65496;44896;77431;18259;87387;;42918;12064;7984
BW;1;m;1977 – 1986;414072;2450;103535;62578;63967;53591;13236;75692;;39024;13282;10652
BW;1;m;1962 – 1976;808921;6311;238508;152560;119694;89516;20710;129141;;52481;21867;16868
BW;1;m;1952 – 1961;514934;5326;159810;126885;61079;49674;12895;79665;;19600;7422;6472
BW;1;m;1951 und früher;536352;7619;236310;142543;38239;42228;6939;51341;;11133;4809;2872
BW;1;w;Summe;3053293;29397;905727;662380;216097;335095;92759;582230;;229607;72831;79442
BW;1;w;1997 – 2003;237833;1421;38331;38230;8893;39963;18283;68826;;23887;6106;4401
BW;1;w;1987 – 1996;411319;2439;80399;70768;29727;55266;20736;107844;;44140;13342;11931
BW;1;w;1977 – 1986;410320;2449;100391;73176;39304;50193;13951;87119;;43738;13933;16738
BW;1;w;1962 – 1976;811694;6675;223146;168468;70848;91086;21615;158923;;70933;23938;27679
BW;1;w;1952 – 1961;530368;5374;170339;132524;41970;46874;11666;93411;;28210;9199;11445
BW;1;w;1951 und früher;651759;11037;293123;179214;25356;51713;6508;66107;;18700;6314;7247
BW;2;Summe;Summe;5997317;47657;1477612;1287934;571336;908039;196874;1022226;;485639;103611;114919
BW;2;Summe;1997 – 2003;486549;1947;54531;64719;27399;121312;32041;118234;;66365;8592;6542
BW;2;Summe;1987 – 1996;832349;3419;118177;129854;74509;161466;43111;193768;;108044;20028;16958
BW;2;Summe;1977 – 1986;824392;3704;157572;136014;106668;134280;29919;163806;;92430;19676;23754
BW;2;Summe;1962 – 1976;1620614;10323;383834;345149;195488;235072;45278;273603;;131867;32464;40298
BW;2;Summe;1952 – 1961;1045302;9248;280809;279910;102767;128999;30033;160804;;52732;12824;18248
BW;2;Summe;1951 und früher;1188111;19016;482689;332287;64505;126910;16493;112010;;34201;10027;9119
BW;2;m;Summe;2944024;20340;703027;603511;352460;497644;101074;453179;;212790;47227;44197
BW;2;m;1997 – 2003;248715;703;27618;30521;17886;76516;13130;49729;;32612;3760;2659
BW;2;m;1987 – 1996;421030;1609;57905;61404;45579;96344;23118;84001;;51071;9335;7189
BW;2;m;1977 – 1986;414072;1744;76433;61826;66041;74493;16111;75417;;42007;9107;9251
BW;2;m;1962 – 1976;808921;4839;195180;162037;122972;122831;23224;122832;;55006;15592;15772
BW;2;m;1952 – 1961;514934;4234;135068;137370;60818;66689;16504;73967;;20284;5403;6817
BW;2;m;1951 und früher;536352;7212;210823;150353;39164;60771;8986;47234;;11809;4031;2508
BW;2;w;Summe;3053293;27317;774585;684423;218876;410395;95800;569047;;272849;56384;70722
BW;2;w;1997 – 2003;237833;1244;26913;34199;9513;44796;18911;68506;;33752;4831;3882
BW;2;w;1987 – 1996;411319;1810;60272;68451;28929;65122;19993;109768;;56973;10693;9769
BW;2;w;1977 – 1986;410320;1960;81139;74188;40628;59787;13807;88389;;50423;10569;14503
BW;2;w;1962 – 1976;811694;5484;188654;183112;72516;112241;22053;150771;;76861;16872;24526
BW;2;w;1952 – 1961;530368;5014;145741;142540;41949;62310;13528;86837;;32448;7422;11431
BW;2;w;1951 und früher;651759;11804;271866;181934;25341;66139;7507;64777;;22392;5997;6611
BY;1;Summe;Summe;7608980;55864;;1316303;634098;579804;187530;1023735;2788048;1023598;577843;157439
BY;1;Summe;1997 – 2003;599340;2837;;82297;36491;88855;29610;121998;132261;104992;53649;11948
BY;1;Summe;1987 – 1996;1050954;4383;;140044;93485;118637;43223;207397;253494;190290;102658;24142
BY;1;Summe;1977 – 1986;1089333;6409;;150680;119327;88271;30206;176800;332210;185431;105618;31288
BY;1;Summe;1962 – 1976;2070687;13594;;337974;209122;147634;42828;278120;727673;313742;180436;55955
BY;1;Summe;1952 – 1961;1361705;10356;;287064;112378;75733;26510;150065;553345;146253;86361;23485
BY;1;Summe;1951 und früher;1436961;18284;;318244;63295;60674;15154;89355;789066;82890;49122;10622
BY;1;m;Summe;3726342;26804;;631641;388150;312662;90202;463257;1344645;468981;268936;62164
BY;1;m;1997 – 2003;303214;1200;;40372;22106;54195;11698;52518;70142;50982;26178;5575
BY;1;m;1987 – 1996;528833;2543;;68427;56656;68406;20819;91625;130911;89446;47635;9471
BY;1;m;1977 – 1986;543164;3286;;72202;74742;47791;14710;81891;163113;85429;49093;12077
BY;1;m;1962 – 1976;1025808;6410;;162954;127758;75321;21163;126296;366112;139793;83377;22186
BY;1;m;1952 – 1961;694724;5068;;146746;71208;39610;13966;72117;275965;70045;43103;9345
BY;1;m;1951 und früher;630599;8298;;140941;35679;27339;7845;38811;338401;33286;19550;3510
BY;1;w;Summe;3882638;29060;;684662;245948;267142;97328;560478;1443403;554617;308908;95275
BY;1;w;1997 – 2003;296126;1637;;41925;14384;34659;17911;69480;62118;54010;27471;6373
BY;1;w;1987 – 1996;522121;1840;;71617;36829;50230;22404;115772;122583;100844;55023;14671
BY;1;w;1977 – 1986;546169;3123;;78478;44585;40480;15495;94909;169097;100001;56525;19211
BY;1;w;1962 – 1976;1044880;7185;;175020;81364;72313;21664;151824;361561;173949;97059;33769
BY;1;w;1952 – 1961;666980;5287;;140318;41170;36123;12544;77949;277380;76208;43259;14140
BY;1;w;1951 und früher;806362;9987;;177303;27616;33336;7309;50544;450665;49604;29572;7112
BY;2;Summe;Summe;7608980;37667;;1361242;679915;798591;210838;1067830;2402827;1050070;566880;131988
BY;2;Summe;1997 – 2003;599340;1471;;74013;39213;116633;33733;126118;89819;118342;47596;10614
BY;2;Summe;1987 – 1996;1050954;2093;;133656;100268;149891;48457;213198;197174;206217;95732;20659
BY;2;Summe;1977 – 1986;1089333;4198;;150780;128265;123986;32165;189267;269037;191636;103717;26357
BY;2;Summe;1962 – 1976;2070687;8165;;364040;226328;215370;48175;290352;617846;300412;170341;46875
BY;2;Summe;1952 – 1961;1361705;6756;;306256;119363;109516;29615;155842;492873;141482;88487;18548
BY;2;Summe;1951 und früher;1436961;14984;;332497;66478;83195;18694;93053;736079;91981;61006;8935
BY;2;m;Summe;3726342;16755;;640050;420140;448876;106625;479808;1147180;466908;257445;51133
BY;2;m;1997 – 2003;303214;659;;34973;24176;74560;14360;52078;46187;56222;23362;4917
BY;2;m;1987 – 1996;528833;998;;61363;60725;90164;24904;93929;97649;99101;45631;8124
BY;2;m;1977 – 1986;543164;2131;;70634;80515;68992;16564;86852;131675;85801;45981;10085
BY;2;m;1962 – 1976;1025808;3601;;173764;140400;117011;23711;131802;307460;128057;76096;18320
BY;2;m;1952 – 1961;694724;2913;;153156;76371;59874;17055;75506;246294;63555;43218;6733
BY;2;m;1951 und früher;630599;6454;;146160;37952;38276;10032;39640;317914;34173;23157;2953
BY;2;w;Summe;3882638;20912;;721192;259775;349715;104213;588022;1255647;583162;309435;80855
BY;2;w;1997 – 2003;296126;812;;39040;15037;42073;19373;74039;43631;62120;24234;5697
BY;2;w;1987 – 1996;522121;1096;;72294;39543;59727;23552;119268;99525;107116;50101;12535
BY;2;w;1977 – 1986;546169;2066;;80145;47750;54995;15601;102415;137361;105835;57736;16272
BY;2;w;1962 – 1976;1044880;4563;;190276;85927;98358;24463;158550;310385;172356;94246;28555
BY;2;w;1952 – 1961;666980;3843;;153100;42992;49642;12561;80336;246580;77927;45269;11815
BY;2;w;1951 und früher;806362;8531;;186337;28526;44919;8662;53414;418165;57808;37849;5982
SL;1;Summe;Summe;583963;10850;159323;208329;56236;46793;30211;31091;;41130;15177;8698
SL;1;Summe;1997 – 2003;37449;880;5492;10743;2086;5785;3661;4235;;4567;892;565
SL;1;Summe;1987 – 1996;68143;1399;12675;19486;8195;6839;4947;6689;;7913;2159;1191
SL;1;Summe;1977 – 1986;72468;1592;16352;20702;10509;6786;4525;4735;;7267;2512;1759
SL;1;Summe;1962 – 1976;148716;2513;36436;53240;17749;11741;8008;7795;;11233;4490;2934
SL;1;Summe;1952 – 1961;119990;2020;32320;48953;11072;8103;5611;5260;;6651;3161;1567
SL;1;Summe;1951 und früher;137197;2446;56048;55206;6625;7539;3459;2376;;3499;1963;682
SL;1;m;Summe;282086;5698;73952;96206;34590;24452;14560;13584;;19043;7006;3413
SL;1;m;1997 – 2003;19362;610;2824;5103;1340;3886;1491;1865;;2244;502;154
SL;1;m;1987 – 1996;34668;865;6445;9204;4989;3802;2461;2865;;4038;1042;592
SL;1;m;1977 – 1986;37035;914;8200;9842;6627;3795;2216;2008;;3432;1117;721
SL;1;m;1962 – 1976;72554;1333;18253;24041;11114;5599;3788;3412;;5014;2127;1045
SL;1;m;1952 – 1961;58613;909;14845;24048;6609;3965;2842;2456;;2938;1439;697
SL;1;m;1951 und früher;59854;1067;23385;23968;3911;3405;1763;978;;1378;779;204
SL;1;w;Summe;301877;5152;85371;112123;21646;22341;15651;17507;;22087;8170;5285
SL;1;w;1997 – 2003;18087;270;2668;5640;747;1899;2170;2370;;2323;390;410
SL;1;w;1987 – 1996;33475;534;6230;10282;3206;3037;2486;3825;;3875;1117;600
SL;1;w;1977 – 1986;35433;678;8152;10859;3882;2991;2309;2727;;3835;1395;1038
SL;1;w;1962 – 1976;76162;1180;18184;29199;6635;6142;4220;4383;;6219;2363;1888
SL;1;w;1952 – 1961;61377;1112;17475;24905;4463;4138;2768;2804;;3713;1722;870
SL;1;w;1951 und früher;77343;1379;32663;31238;2713;4134;1697;1398;;2121;1184;478
SL;2;Summe;Summe;583963;10295;135134;213777;57629;65945;41130;;;60053;11746;8116
SL;2;Summe;1997 – 2003;37449;754;3744;10435;2020;7792;5298;;;7407;699;448
SL;2;Summe;1987 – 1996;68143;1443;8907;18872;8296;9988;7512;;;13125;1746;1287
SL;2;Summe;1977 – 1986;72468;1294;12617;21283;11000;10031;5870;;;10373;1687;1520
SL;2;Summe;1962 – 1976;148716;2107;30266;55975;17839;16902;10056;;;15570;3228;2573
SL;2;Summe;1952 – 1961;119990;2005;27774;50968;11544;11416;7713;;;8571;2605;1522
SL;2;Summe;1951 und früher;137197;2693;51827;56242;6930;9816;4681;;;5007;1782;766
SL;2;m;Summe;282086;5323;61022;98022;35773;35912;20691;;;25342;5500;3253
SL;2;m;1997 – 2003;19362;515;1968;4891;1272;5054;2593;;;3069;401;92
SL;2;m;1987 – 1996;34668;878;4402;8312;5127;6044;3963;;;5943;901;572
SL;2;m;1977 – 1986;37035;671;5857;10132;6960;5611;3011;;;4792;817;737
SL;2;m;1962 – 1976;72554;1189;14829;25708;11163;8627;4748;;;6289;1475;1046
SL;2;m;1952 – 1961;58613;999;12362;24760;7069;6146;3844;;;3433;1149;591
SL;2;m;1951 und früher;59854;1071;21604;24220;4182;4429;2533;;;1815;757;215
SL;2;w;Summe;301877;4972;74112;115755;21856;30033;20439;;;34711;6246;4863
SL;2;w;1997 – 2003;18087;238;1776;5544;747;2738;2705;;;4338;298;356
SL;2;w;1987 – 1996;33475;565;4505;10560;3169;3943;3550;;;7182;845;715
SL;2;w;1977 – 1986;35433;622;6760;11152;4040;4420;2858;;;5581;869;784
SL;2;w;1962 – 1976;76162;918;15437;30267;6676;8275;5308;;;9281;1754;1527
SL;2;w;1952 – 1961;61377;1006;15412;26208;4475;5270;3869;;;5138;1456;931
SL;2;w;1951 und früher;77343;1622;30223;32022;2749;5387;2148;;;3192;1024;551
BE;1;Summe;Summe;1856903;31631;344838;417163;147134;129678;260242;380581;;145636;14163;19601
BE;1;Summe;1997 – 2003;135448;1617;11463;22696;4863;15819;23227;40615;;15147;727;1592
BE;1;Summe;1987 – 1996;281692;2403;24880;45709;12170;25300;44773;92766;;33691;1841;2750
BE;1;Summe;1977 – 1986;322436;2874;45970;59974;25546;23607;41489;90949;;32028;2146;4532
BE;1;Summe;1962 – 1976;479659;6279;88350;100921;53037;35002;56665;100104;;39302;4675;7071
BE;1;Summe;1952 – 1961;266532;5253;59964;70492;28889;14816;40810;32649;;13660;2845;2362
BE;1;Summe;1951 und früher;371136;13205;114211;117371;22630;15133;53278;23499;;11808;1929;1294
BE;1;m;Summe;883321;13375;165910;191732;90006;70226;123782;165320;;62971;6541;7910
BE;1;m;1997 – 2003;65197;657;6175;11846;2763;9187;10638;17030;;6902;408;807
BE;1;m;1987 – 1996;135396;1472;12205;23377;7230;15195;21490;37990;;16436;1160;1182
BE;1;m;1977 – 1986;163749;1666;23151;29498;15757;13788;22237;42871;;14781;1132;1662
BE;1;m;1962 – 1976;235093;3129;46276;46576;32945;18742;27606;43207;;16612;2272;2987
BE;1;m;1952 – 1961;126572;2221;28138;32590;18442;7647;17972;14462;;5101;1064;906
BE;1;m;1951 und früher;157314;4231;49965;47844;12869;5668;23839;9759;;3138;504;366
BE;1;w;Summe;973582;18256;178928;225431;57128;59452;136460;215261;;82665;7622;11691
BE;1;w;1997 – 2003;70251;961;5288;10850;2100;6633;12589;23585;;8245;319;785
BE;1;w;1987 – 1996;146297;931;12675;22331;4940;10105;23283;54776;;17254;681;1568
BE;1;w;1977 – 1986;158687;1208;22818;30476;9789;9819;19252;48078;;17247;1014;2869
BE;1;w;1962 – 1976;244566;3150;42074;54344;20092;16260;29059;56897;;22690;2403;4084
BE;1;w;1952 – 1961;139960;3032;31826;37902;10447;7169;22839;18186;;8560;1780;1456
BE;1;w;1951 und früher;213822;8974;64247;69527;9760;9465;29439;13740;;8670;1425;928
BE;2;Summe;Summe;1856903;30322;289691;428289;153694;165937;209052;408533;;171385;17070;
BE;2;Summe;1997 – 2003;135448;1241;7922;18779;5136;17293;19943;43086;;22048;1110;
BE;2;Summe;1987 – 1996;281692;2439;19418;40932;12183;28644;37691;98619;;41767;2437;
BE;2;Summe;1977 – 1986;322436;3572;37713;55920;26454;29945;32339;99784;;36709;4475;
BE;2;Summe;1962 – 1976;479659;5364;73308;105970;55358;47641;43939;106652;;41427;5182;
BE;2;Summe;1952 – 1961;266532;4520;51464;79435;30601;19759;32630;33610;;14512;2313;
BE;2;Summe;1951 und früher;371136;13186;99866;127253;23961;22655;42510;26782;;14922;1553;
BE;2;m;Summe;883321;13304;136674;195630;92847;92064;98706;178660;;75436;8594;
BE;2;m;1997 – 2003;65197;406;3915;9484;2726;11179;9094;18597;;9796;558;
BE;2;m;1987 – 1996;135396;1238;9772;20751;7225;17020;18038;40637;;20715;1428;
BE;2;m;1977 – 1986;163749;1923;18633;27448;15509;18351;16941;46769;;18176;2866;
BE;2;m;1962 – 1976;235093;2682;38004;49012;33987;26215;21497;46414;;17280;2366;
BE;2;m;1952 – 1961;126572;2321;24015;36399;19790;9778;14629;14601;;5038;832;
BE;2;m;1951 und früher;157314;4733;42336;52536;13610;9520;18508;11640;;4431;543;
BE;2;w;Summe;973582;17018;153017;232659;60847;73873;110346;229873;;95949;8476;
BE;2;w;1997 – 2003;70251;835;4007;9294;2411;6114;10850;24488;;12252;552;
BE;2;w;1987 – 1996;146297;1200;9646;20181;4958;11624;19653;57982;;21052;1008;
BE;2;w;1977 – 1986;158687;1649;19080;28472;10945;11593;15398;53015;;18533;1609;
BE;2;w;1962 – 1976;244566;2681;35304;56958;21371;21426;22442;60238;;24147;2816;
BE;2;w;1952 – 1961;139960;2199;27449;43036;10811;9981;18002;19008;;9474;1481;
BE;2;w;1951 und früher;213822;8453;57530;74717;10352;13135;24001;15142;;10492;1010;
BE-O;1;Summe;Summe;821070;11139;114664;146740;84656;48380;187305;158523;;69664;6519;8430
BE-O;1;Summe;1997 – 2003;48744;789;3050;5686;2741;4821;11733;13861;;6062;258;374
BE-O;1;Summe;1987 – 1996;123146;756;9642;15053;6420;9521;24154;41503;;16096;685;1356
BE-O;1;Summe;1977 – 1986;162812;1108;19424;23385;15672;11355;28633;46418;;16817;1255;2008
BE-O;1;Summe;1962 – 1976;222429;2206;30418;38647;31840;13915;42283;43314;;19806;2441;3652
BE-O;1;Summe;1952 – 1961;117051;1779;21687;24732;16170;4891;33241;8308;;6242;1248;830
BE-O;1;Summe;1951 und früher;146888;4501;30442;39236;11812;3877;47261;5118;;4640;632;210
BE-O;1;m;Summe;394924;4496;55303;66776;52098;26732;89098;69611;;30811;3167;3396
BE-O;1;m;1997 – 2003;24074;151;1703;3129;1705;2786;5731;6356;;2513;114;140
BE-O;1;m;1987 – 1996;57727;452;4777;7055;3407;5564;12256;16359;;7856;540;464
BE-O;1;m;1977 – 1986;80734;567;9527;11453;9314;6441;14776;20635;;8021;653;715
BE-O;1;m;1962 – 1976;115418;1221;16880;18168;20597;7973;21265;20468;;8847;1394;1715
BE-O;1;m;1952 – 1961;55804;805;9990;11184;10700;2458;14272;3920;;2476;374;297
BE-O;1;m;1951 und früher;61167;1300;12426;15787;6376;1510;20798;1872;;1098;92;65
BE-O;1;w;Summe;426147;6643;59361;79964;32558;21648;98207;88912;;38853;3351;5034
BE-O;1;w;1997 – 2003;24670;638;1348;2557;1036;2035;6003;7505;;3549;144;235
BE-O;1;w;1987 – 1996;65419;304;4866;7998;3014;3956;11898;25144;;8240;145;892
BE-O;1;w;1977 – 1986;82078;541;9897;11932;6358;4914;13857;25783;;8796;601;1292
BE-O;1;w;1962 – 1976;107011;985;13538;20479;11243;5942;21018;22846;;10959;1047;1937
BE-O;1;w;1952 – 1961;61247;974;11697;13549;5471;2434;18969;4389;;3766;873;533
BE-O;1;w;1951 und früher;85721;3201;18016;23449;5436;2368;26463;3246;;3542;540;145
BE-O;2;Summe;Summe;821070;12057;92720;175376;88192;60071;137191;175651;;79812;8573;
BE-O;2;Summe;1997 – 2003;48744;740;1926;5901;2799;4804;9310;15588;;7677;535;
