# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;
# ;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;
# Zeitreihe seit 1953: Wahlberechtigte ohne und mit Wahlschein, Wählende und Wahlbeteiligung nach Geschlecht und Altersgruppen;;;;;;;
# ;;;;;;;
# 1953: Bundesergebnis ohne Rheinland-Pfalz und Bayern.;;;;;;;
# 1953 und 1957: Keine hochgerechneten Ergebnisse.;;;;;;;
# 1957 bis 1990: Keine kalibrierten Ergebnisse, daher geringfügige Abweichungen zum amtlichen Endergebnis. Anzahl der Wählenden nur ohne Wahlschein.;;;;;;;
# 1994 und 1998 wurde die repräsentative Wahlstatistik durch den Gesetzgeber ausgesetzt.;;;;;;;
# 2002 bis 2013: Anzahl der Wählenden nicht kalibriert, daher geringfügige Abweichungen zum amtlichen Endergebnis.;;;;;;;
# 2002 bis 2013: Gegenüber den damaligen Veröffentlichungen Anzahl der Wählenden nachträglich um den Anteil aller Wahlscheininhaberinnen und -inhabern bereinigt, die nicht an der Wahl teilgenommen haben.;;;;;;;
# Ab 2021: Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;
# Bei der repräsentativen Wahlstatistik werden Geburtsjahresgruppen erhoben, daher sind die Altersgruppen nicht exakt abgegrenzt.;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;
# ;;;;;;;
Bundestagswahl;Geschlecht;Altersgruppe etwa von ... bis ... Jahren;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wählende;Wahlbeteiligung
2013;Summe;Summe;61946900;50601337;11345563;44310929;71,5
2013;Summe;18-20;2015161;1767818;247343;1282689;63,7
2013;Summe;21-24;3364989;2837736;527253;2005374;59,6
2013;Summe;25-29;4406168;3702178;703990;2715297;61,6
2013;Summe;30-34;4289573;3639562;650011;2781150;64,8
2013;Summe;35-39;3922050;3370322;551728;2668980;68,1
2013;Summe;40-44;4776956;4128381;648575;3428167;71,8
2013;Summe;45-49;6319946;5358509;961437;4674134;74,0
2013;Summe;50-59;11521113;9440102;2081033;8602492;74,7
2013;Summe;60-69;8504104;6560621;1943484;6694296;78,7
2013;Summe;>=70;12826840;9796107;3030710;9458351;73,7
2013;m;Summe;29858925;24664904;5194043;21460265;71,9
2013;m;18-20;1031147;918864;112284;658454;63,9
2013;m;21-24;1699897;1465416;234481;1007545;59,3
2013;m;25-29;2234007;1903264;330743;1356908;60,7
2013;m;30-34;2173862;1855248;318613;1388303;63,9
2013;m;35-39;1984525;1709424;275101;1333242;67,2
2013;m;40-44;2410284;2094828;315456;1700216;70,5
2013;m;45-49;3189647;2730305;459342;2336924;73,3
2013;m;50-59;5742951;4775006;967967;4273256;74,4
2013;m;60-69;4108180;3198207;909973;3240138;78,9
2013;m;>=70;5284426;4014342;1270083;4165279;78,8
2013;w;Summe;32087975;25936433;6151520;22850665;71,2
2013;w;18-20;984014;848955;135059;624235;63,4
2013;w;21-24;1665091;1372320;292772;997829;59,9
2013;w;25-29;2172161;1798914;373247;1358389;62,5
2013;w;30-34;2115711;1784313;331398;1392847;65,8
2013;w;35-39;1937525;1660898;276627;1335738;68,9
2013;w;40-44;2366672;2033553;333119;1727950;73,0
2013;w;45-49;3130300;2628205;502095;2337210;74,7
2013;w;50-59;5778162;4665097;1113066;4329237;74,9
2013;w;60-69;4395924;3362414;1033510;3454159;78,6
2013;w;>=70;7542414;5781765;1760627;5293071;70,2
2017;Summe;Summe;61688485;47595800;14092685;46976341;76,2
2017;Summe;18-20;2045501;1709333;336168;1429282;69,9
2017;Summe;21-24;2902998;2295723;607275;1944182;67,0
2017;Summe;25-29;4206014;3311417;894597;2883700;68,6
2017;Summe;30-34;4302277;3455795;846482;3098738;72,0
2017;Summe;35-39;4264347;3490155;774193;3173342;74,4
2017;Summe;40-44;3953481;3273575;679906;3015509;76,3
2017;Summe;45-49;5230865;4232089;998776;4124009;78,8
2017;Summe;50-59;12396299;9581842;2814457;9846543;79,4
2017;Summe;60-69;9487267;6950185;2537081;7688512;81,0
2017;Summe;>=70;12899435;9295685;3603749;9772523;75,8
2017;m;Summe;29812788;23372785;6440002;22760296;76,3
2017;m;18-20;1046360;893024;153336;721922;69,0
2017;m;21-24;1479600;1210140;269460;973508;65,8
2017;m;25-29;2143419;1725440;417979;1436384;67,0
2017;m;30-34;2185551;1777746;407805;1546823;70,8
2017;m;35-39;2147986;1772715;375271;1574280;73,3
2017;m;40-44;1990144;1655475;334669;1497318;75,2
2017;m;45-49;2630344;2157384;472959;2050761;78,0
2017;m;50-59;6205978;4896721;1309258;4900232;79,0
2017;m;60-69;4602052;3418179;1183873;3736870;81,2
2017;m;>=70;5381355;3865963;1515392;4322197;80,3
2017;w;Summe;31875697;24223015;7652683;24216045;76,0
2017;w;18-20;999140;816309;182832;707360;70,8
2017;w;21-24;1423399;1085584;337815;970674;68,2
2017;w;25-29;2062596;1585978;476618;1447316;70,2
2017;w;30-34;2116726;1678049;438677;1551915;73,3
2017;w;35-39;2116362;1717440;398922;1599062;75,6
2017;w;40-44;1963337;1618100;345237;1518191;77,3
2017;w;45-49;2600522;2074705;525817;2073248;79,7
2017;w;50-59;6190321;4685122;1505199;4946311;79,9
2017;w;60-69;4885215;3532006;1353209;3951642;80,9
2017;w;>=70;7518080;5429723;2088357;5450327;72,5
2021;Summe;Summe;61181072;37839651;23341421;46854508;76,6
2021;Summe;18-20;1960308;1391586;568722;1382344;70,5
2021;Summe;21-24;3019738;1954763;1064974;2150944;71,2
2021;Summe;25-29;3716615;2310950;1405665;2689049;72,4
2021;Summe;30-34;4351153;2772243;1578909;3195676;73,4
2021;Summe;35-39;4319899;2850834;1469065;3230564;74,8
2021;Summe;40-44;4195036;2821283;1373753;3175720;75,7
2021;Summe;45-49;4084033;2715891;1368141;3191596;78,1
2021;Summe;50-59;11820527;7244511;4576016;9483921;80,2
2021;Summe;60-69;10450116;6118060;4332056;8367047;80,1
2021;Summe;>=70;13263648;7659529;5604118;9987648;75,3
2021;m|d|o;Summe;29685636;18942032;10743605;22757297;76,7
2021;m|d|o;18-20;1013663;747531;266131;698770;68,9
2021;m|d|o;21-24;1552460;1063009;489451;1087619;70,1
2021;m|d|o;25-29;1905371;1252829;652543;1347081;70,7
2021;m|d|o;30-34;2211330;1456570;754759;1600602;72,4
2021;m|d|o;35-39;2193390;1481246;712144;1616223;73,7
2021;m|d|o;40-44;2112045;1448988;663057;1577569;74,7
2021;m|d|o;45-49;2036417;1402452;633965;1569863;77,1
2021;m|d|o;50-59;5916125;3780195;2135931;4710871;79,6
2021;m|d|o;60-69;5086950;3060582;2026368;4077215;80,2
2021;m|d|o;>=70;5657885;3248629;2409256;4471483;79,0
2021;w;Summe;31495436;18897619;12597816;24097211;76,5
2021;w;18-20;946646;644055;302591;683574;72,2
2021;w;21-24;1467278;891754;575524;1063325;72,5
2021;w;25-29;1811243;1058121;753123;1341967;74,1
2021;w;30-34;2139823;1315673;824150;1595073;74,5
2021;w;35-39;2126509;1369588;756921;1614341;75,9
2021;w;40-44;2082991;1372295;710696;1598151;76,7
2021;w;45-49;2047616;1313440;734176;1621733;79,2
2021;w;50-59;5904401;3464316;2440085;4773049;80,8
2021;w;60-69;5363167;3057478;2305689;4289832;80,0
2021;w;>=70;7605763;4410900;3194862;5516165;72,5
2025;Summe;Summe;60510631;40946464;19564167;49928653;82,5
2025;Summe;18-20;1447736;1115302;332434;1141347;78,8
2025;Summe;21-24;2736246;1926009;810237;2142072;78,3
2025;Summe;25-29;3666644;2401004;1265639;2950750;80,5
2025;Summe;30-34;3813319;2494212;1319107;3117395;81,8
2025;Summe;35-39;4548127;3145028;1403099;3764358;82,8
2025;Summe;40-44;4388930;3149750;1239180;3647179;83,1
2025;Summe;45-49;4173784;3022568;1151216;3504369;84,0
2025;Summe;50-59;9959413;6883603;3075811;8513020;85,5
2025;Summe;60-69;11541427;7730017;3811410;9862994;85,5
2025;Summe;>=70;14235004;9078971;5156033;11285169;79,3
2025;m|d|o;Summe;29382800;20477688;8905111;24306010;82,7
2025;m|d|o;18-20;745796;592528;153268;575466;77,2
2025;m|d|o;21-24;1420390;1053612;366778;1086597;76,5
2025;m|d|o;25-29;1894606;1312341;582264;1492889;78,8
2025;m|d|o;30-34;1951687;1325409;626278;1569230;80,4
2025;m|d|o;35-39;2306067;1630338;675729;1892394;82,1
2025;m|d|o;40-44;2229111;1627223;601889;1837094;82,4
2025;m|d|o;45-49;2089789;1546928;542861;1741920;83,4
2025;m|d|o;50-59;4979576;3554930;1424646;4234720;85,0
2025;m|d|o;60-69;5659990;3897165;1762825;4832217;85,4
2025;m|d|o;>=70;6105788;3937214;2168574;5043483;82,6
2025;w;Summe;31127831;20468776;10659056;25622643;82,3
2025;w;18-20;701940;522774;179166;565881;80,6
2025;w;21-24;1315856;872397;443459;1055475;80,2
2025;w;25-29;1772038;1088663;683375;1457861;82,3
2025;w;30-34;1861632;1168803;692829;1548164;83,2
2025;w;35-39;2242060;1514690;727370;1871964;83,5
2025;w;40-44;2159819;1522527;637292;1810085;83,8
2025;w;45-49;2083995;1475640;608355;1762449;84,6
2025;w;50-59;4979837;3328673;1651164;4278300;85,9
2025;w;60-69;5881438;3832853;2048585;5030777;85,5
2025;w;>=70;8129216;5141757;2987459;6241685;76,8
